,page,country,article_quality_est,Population
162,Ghassan Ashqar,Lebanon,Stub,6825000.0
163,Magnús Orri Schram,Iceland,Stub,368000.0
164,Wusu Sannoh,Sierra Leone,Stub,7977000.0
165,Kuri II of Kanem,Chad,Stub,16877000.0
166,Laroussi Mizouri,Tunisia,Stub,11896000.0
167,Hashid Abdullah al-Ahmar,Yemen,Stub,29826000.0
168,Erkin Alymbekov,Kyrgyzstan,Stub,6594000.0
169,Angelo Staniscia,Italy,Stub,60296000.0
170,Malik Adnan Hayat Noon,Pakistan,Stub,220940000.0
171,Samou Seidou Adambi,Benin,Stub,12209000.0
172,Porfirio Smerdou,Mexico,Stub,127792000.0
173,Lise Nordin,Sweden,Stub,10377000.0
174,Fletcher Dulini,Zimbabwe,Stub,14863000.0
175,Krzysztof Abrahamowicz,Poland,Stub,38368000.0
176,Horace Mann Thu-Jaune,Madagascar,Stub,27691000.0
177,Patrick Goold,Cape Colony,Start,
178,Murad Quenili,Afghanistan,Stub,38928000.0
179,Bir II of Kanem,Chad,Stub,16877000.0
180,Gerald Hill (politician),Canada,Stub,38190000.0
181,List of Presidents of Alsace,France,Stub,64940000.0
182,John R. O'Dea,Canada,Stub,38190000.0
183,Annaberdi Kakabaýew,Turkmenistan,Stub,6031000.0
184,Salim Yahya al-Kharega,Yemen,Stub,29826000.0
185,Faida Mohamed Bakar,Tanzania,Stub,59734000.0
186,Hosea Kiplagat,Kenya,Stub,53528000.0
187,Michael D. Lett,Grenada,Stub,113000.0
188,Than Sina,Cambodia,Stub,15497000.0
189,Samuel J. Hefferton,Canada,Start,38190000.0
190,Armen Rustamyan,Armenia,Stub,2956000.0
191,Abdulahi Ahmed Afrah,Somalia,Stub,15893000.0
192,Ólafur Garðar Einarsson,Iceland,Stub,368000.0
193,Badar,Afghanistan,Stub,38928000.0
194,Dušan Švantner,Slovakia,Stub,5462000.0
195,Óli Þorbjörn Guðbjartsson,Iceland,Stub,368000.0
196,Mohammed Qalamuddin,Afghanistan,Stub,38928000.0
197,Patrick Bourson,France,Stub,64940000.0
198,Lininy,Madagascar,Stub,27691000.0
199,Azeez Issa Adesiji,Nigeria,Stub,206140000.0
200,Toluono Feti,Samoan,Stub,
201,Ali al-Bahadili,Iraq,Stub,39725000.0
202,Valerian Revenco,Moldova,Stub,3535000.0
203,Presidential Palace Historical Site,Vietnam,Stub,96209000.0
204,Viktor Antonov,Russia,Stub,146733000.0
205,Elsa Malpartida,Peru,Stub,32824000.0
206,Rasoanaivo,Madagascar,Stub,27691000.0
207,Sadio Lamine Sow,Mali,Stub,20251000.0
208,Narayan Sharma Paudel,Nepal,Stub,29996000.0
209,Mataʻiʻulua ‘i Fonuamotu,Tonga,Stub,99000.0
210,San Tun,Myanmar,Stub,54704000.0
211,Masahiro Futahashi,Japan,Stub,125967000.0
212,Yannis Moralis (politician),Greece,Stub,10700000.0
213,Macarena Escudero,Argentina,Stub,45377000.0
214,André Boulloche,France,Stub,64940000.0
215,Miroslav Poche,Czech Republic,Stub,
216,Vojtěch Mynář,Czech Republic,Stub,
217,Norma Colpari,Argentina,Stub,45377000.0
218,Roosevelt Jayjay,Liberia,Stub,5058000.0
219,Joshua Nii Laryea Afotey-Agbo,Ghana,Stub,31073000.0
220,Military Committee of the Congolese Party of Labour,Congo,Stub,5518000.0
221,Speaker of the Legislative Assembly of Montserrat,Montserratian,Stub,
222,Ahmad bin Eid al-Thani,Qatar,Stub,2839000.0
223,Liga Federal,Uruguay,C,3531000.0
224,George Samuel Ranglin,Jamaica,Stub,2809000.0
225,Rubén Pellanda,Argentina,Stub,45377000.0
226,Raúl Lacabanne,Argentina,Stub,45377000.0
227,Juan Carlos Reyes (governor),Argentina,Stub,45377000.0
228,Bernardo Bas,Argentina,Stub,45377000.0
229,Alexander Dunphy,Canada,Stub,38190000.0
230,Gordon Dawe,Canada,Stub,38190000.0
231,Bijai Prasad,Fiji,Stub,896000.0
232,Barton Scotland,Guyana,Stub,787000.0
233,Paul Thoms,Canada,Stub,38190000.0
234,Frederick B. Rowe,Canada,Stub,38190000.0
235,Allan Evans (politician),Canada,Stub,38190000.0
236,Andries Botha,Cape Colony,B,
237,Asesela Sadole,Fiji,Stub,896000.0
238,Luke Woodrow,Canada,Stub,38190000.0
239,William G. Patterson,Canada,Stub,38190000.0
240,Simeon Bouro,Solomon Islands,Start,715000.0
241,Salisu Buhari,Nigeria,Stub,206140000.0
242,Hou Zongbin,China,Stub,1402385000.0
243,Jorge Zavala,Ecuador,Stub,17511000.0
244,Harry Quaderer,Liechtenstein,Stub,39000.0
245,Freeman White (politician),Canada,Stub,38190000.0
246,Leneuoti Matusi,Tuvalu,Stub,10000.0
247,Second Toafa Ministry,Tuvalu,Start,10000.0
248,William J. MacNeil,Canada,Stub,38190000.0
249,Miguel Cané,Argentina,Start,45377000.0
250,Gabriel Antonio Pereira,Uruguay,Stub,3531000.0
251,Wilhelm Wallbaum,Germany,Stub,83300000.0
252,List of São Toméan politicians,Sao Tome and Principe,Stub,210000.0
253,Larbi Messari,Morocco,Start,35952000.0
254,Sergey Zorin,Russia,Stub,146733000.0
255,Fakhrul Islam,Pakistan,Stub,220940000.0
256,Cora Amalia Castilla,Mexico,Stub,127792000.0
257,Victor Macky,New Zealand,Start,4987000.0
258,Joaquín Escolán y Balibrera,El Salvador,Stub,6481000.0
259,Mohamed Mohamud Hayd,Somalia,Stub,15893000.0
260,Sergey Kalyakin,Belarus,Stub,9375000.0
261,List of Slovenian politicians,Slovenia,Stub,2103000.0
262,Mateo Vidal,Uruguay,Stub,3531000.0
263,John Collins (Canadian politician),Canada,Stub,38190000.0
264,Osea Gavidi,Fiji,Start,896000.0
265,Cui Yuying,China,Start,1402385000.0
266,Abdul Rahim Ishak,Singapore,Start,5769000.0
267,Gumercinda Páez,Panama,GA,4283000.0
268,Des Dalton,Ireland,Start,5003000.0
269,Claude Pivi,Guinea,Stub,12560000.0
270,Charles William Hutton,Cape Colony,C,
271,Bernardo Grinspun,Argentina,Stub,45377000.0
272,Chairman of the Island Council (Pitcairn),Pitcairn Islands,Stub,
273,Michael Konelios,Marshall Islands,Stub,57000.0
274,Malik Khuda Buksh Tiwana,Pakistan,Stub,220940000.0
275,Barry Hynes,Canada,Stub,38190000.0
276,"Domonkos II, Archbishop of Esztergom",Hungary,Stub,9767000.0
277,Veríssimo Aguiar Cabral,Portugal,Stub,10255000.0
278,Federico Policani,Panama,Stub,4283000.0
279,Alexander Barybin,Russia,Stub,146733000.0
280,Hossam Arafat (politician),Palestinian Territory,Stub,5008000.0
281,Laura Alvarez,United Kingdom,Stub,67160000.0
282,Mirosław Czech,Poland,Stub,38368000.0
283,Poli Karastoyanova,Bulgaria,Start,6927000.0
284,Actisanes,Ethiopia,Stub,114916000.0
285,Azhar Cachalia,South Africa,Stub,59628000.0
286,William Fairbridge,Zimbabwe,Start,14863000.0
287,Simona-Alice Man,Romania,Stub,19241000.0
288,Jerônima Mesquita,Brazil,Stub,211812000.0
289,Jose Solis,Philippines,Stub,109581000.0
290,Viriato Fiallo,Dominican Republic,Start,10500000.0
291,Rodolfo Gabrielli,Argentina,Stub,45377000.0
292,Eli Wong,Malaysia,Stub,32781000.0
293,Horácio de Matos,Brazil,Stub,211812000.0
294,Brendan Howard,Canada,Stub,38190000.0
295,Benigno Andrade Flores,Ecuador,Stub,17511000.0
296,Yury Zaostrovtsev,Russia,Stub,146733000.0
297,Patrick Mutono,Uganda,Stub,45741000.0
298,Giuseppe Fenaroli Avogadro,Italy,Stub,60296000.0
299,Afonso Pedro Canga,Angola,Stub,32522000.0
300,Wilhelm von Wedell-Piesdorf,Germany,Stub,83300000.0
301,Hans Graf von Schwerin-Löwitz,Germany,Stub,83300000.0
302,Geoff Muntz,Australia,Start,25754000.0
303,Martiros Sarukhanyan,Armenia,Stub,2956000.0
304,Maria del Pilar Hurtado,Colombia,Stub,49444000.0
305,Giovanni Bovara,Italy,Start,60296000.0
306,Zvonimir Mršić,Croatia,Stub,4020000.0
307,Julius Muthamia,Kenya,Start,53528000.0
308,Wilson Callan,Canada,Stub,38190000.0
309,Rod Moores,Canada,Stub,38190000.0
310,Georges Adwan,Lebanon,Stub,6825000.0
311,Muhammad Musa al-Amri,Yemen,Start,29826000.0
312,Murray Hill Incorporated,United States,Stub,329878000.0
313,Aníbal Diniz,Brazil,Stub,211812000.0
314,Slaheddine Ben Mbarek,Tunisia,Stub,11896000.0
315,Ali Fawzi Rebaine,Algeria,Stub,44357000.0
316,Jochen Ott,Germany,Stub,83300000.0
317,Aleksander Miller,Poland,Stub,38368000.0
318,Sergei Gaidukevich,Belarus,Stub,9375000.0
319,President of Taiwan,Taiwan,Stub,23610000.0
320,Siosifa Tuʻitupou Tuʻutafaiva,Tonga,Start,99000.0
321,Qandil Cabinet,Egypt,C,100803000.0
322,Ivo Andrić-Lužanski,Bosnia-Herzegovina,Stub,3281000.0
323,Earl Asim Martin,Saint Kitts and Nevis,Stub,
324,Raúl Borrás,Argentina,Stub,45377000.0
325,Roque Carranza,Argentina,Stub,45377000.0
326,Germán López (politician),Argentina,Stub,45377000.0
327,Electoral history of Mohammad Khatami,Iran,Start,84150000.0
328,Electoral history of Mahmoud Ahmadinejad,Iran,Start,84150000.0
329,Electoral history of Ali Larijani,Iran,Start,84150000.0
330,Meng Xiangwei,China,Stub,1402385000.0
331,House of Theemuge,Maldives,Stub,541000.0
332,Ata Messan Ajavon Zeus,Togo,Stub,8279000.0
333,John Rogers (Irish lawyer),Ireland,Stub,5003000.0
334,Mustafa Osman Obeid Salim,Sudan,Stub,43849000.0
335,Tito Hoz de Vila,Bolivia,Start,11633000.0
336,Alexandré Barro Chambrier,Gabon,Start,2231000.0
337,Md. Moniruzzaman Moni,Bangladesh,Stub,169809000.0
338,Benjamin Green Freeman,Liberia,Stub,5058000.0
339,Han Tha Myint,Myanmar,Stub,54704000.0
340,Willem Buys,Netherlands,Stub,17467000.0
341,Joseph Gustave Ernest Allard,Belgium,Stub,11515000.0
342,Takis Papageorgopoulos,Greece,Stub,10700000.0
343,List of 2010 Canadian incumbents,Canada,Start,38190000.0
344,Zhu Haowen,China,Stub,1402385000.0
345,Abu Samah Mohd Kassim,Malaysia,Stub,32781000.0
346,Stanislaus Okurut,Uganda,Stub,45741000.0
347,Ilmi Hallsten,Finland,Stub,5529000.0
348,Zhao Dezun,China,Stub,1402385000.0
349,Mario Occhiuto,Italy,Stub,60296000.0
350,Leszek Deptuła,Poland,Stub,38368000.0
351,Sergei Walter,Ukraine,Start,41778000.0
352,List of mayors of Radoviš,Macedonia,Stub,
353,"Péter Szilágyi (politician, 1981)",Hungary,Start,9767000.0
354,Harold Collins (Canadian politician),Canada,Stub,38190000.0
355,R. G. Balan,Malaysia,Stub,32781000.0
356,Vítor Aleixo,Portugal,Stub,10255000.0
357,Tuomas Pohjanpalo,Finland,Stub,5529000.0
358,Zhang Chang (Han),China,Stub,1402385000.0
359,Lei Chunmei,China,Stub,1402385000.0
360,Franci Slak,Slovenia,Start,2103000.0
361,Abdus Sattar Mondal,Bangladesh,Stub,169809000.0
362,Bashir Saadawi,Libya,Stub,6891000.0
363,Igwe Aja-Nwachukwu,Nigeria,Stub,206140000.0
364,Speaker of the Legislative Assembly of the Province of Canada,Canada,Stub,38190000.0
365,Josif Pashko,Albania,Stub,2838000.0
366,Ahmed Jamsheed Mohamed,Maldives,Stub,541000.0
367,Kerfalla Yansané,Guinea,Stub,12560000.0
368,Amadou Konare,Mali,Stub,20251000.0
369,João Alberto de Souza,Brazil,Stub,211812000.0
370,Mote Terukaio,Kiribati,Stub,125000.0
371,Tekiau Aretaateta,Kiribati,Stub,125000.0
372,Marie-José Laloy,Belgium,Stub,11515000.0
373,Émile Marie Laurent,France,Stub,64940000.0
374,Mahamat Hissene,Chad,Stub,16877000.0
375,Rafael Tobias de Aguiar,Brazil,Stub,211812000.0
376,Phạm Thị Trân Châu,Vietnam,Stub,96209000.0
377,David Pacha,Solomon Islands,Stub,715000.0
378,Charles Oboth Ofumbi,Uganda,Start,45741000.0
379,Lu Ruilin,China,Stub,1402385000.0
380,Lalbuaia,India,Stub,1400100000.0
381,Ian Brossat,France,Stub,64940000.0
382,Yuan Baocheng,China,Stub,1402385000.0
383,Pumla Kisosonkole,Uganda,Start,45741000.0
384,Ivo Nesrovnal,Slovakia,Stub,5462000.0
385,Pekka Pesola,Finland,Stub,5529000.0
386,Jean Capelle (politician),France,Stub,64940000.0
387,Magnús Norðdahl,Iceland,Stub,368000.0
388,John Blades Currey,Cape Colony,Stub,
389,Li Zaihe,China,Stub,1402385000.0
390,Guillermo Montenegro,Argentina,Stub,45377000.0
391,Khas-Ochiryn Luvsandorj,Mongolia,Stub,3361000.0
392,Michele Columbu,Italy,Stub,60296000.0
393,Li Sancai,China,C,1402385000.0
394,Martin Zephyr,Guyana,Stub,787000.0
395,Khadyr Saparlyev,Turkmenistan,Stub,6031000.0
396,Arouna Mama,Benin,Stub,12209000.0
397,List of Dutch politicians,Netherlands,B,17467000.0
398,Robert Bohn Sikol,Vanuatu,C,321000.0
399,Javier Reátegui,Peru,Stub,32824000.0
400,Mamadou Djigué,Mali,Stub,20251000.0
401,Zaur Avidzba,Abkhazia,Start,
402,Nyamyn Jagvaral,Mongolia,Start,3361000.0
403,Mahadeo Deole,India,Stub,1400100000.0
404,Ngo Dinh Khoi,Vietnam,Stub,96209000.0
405,Jorge Lemus,Argentina,Stub,45377000.0
406,Viktor Magnus von Born,Finland,Stub,5529000.0
407,Lennart Byman,Finland,Stub,5529000.0
408,Hamid Khan Achakzai,Pakistan,Stub,220940000.0
409,Johan Helo,Finland,Stub,5529000.0
410,Gunnar Henriksson,Finland,Stub,5529000.0
411,Cecilia Soria,Argentina,Stub,45377000.0
412,Francisco de Arango y Parreño,Cuba,Start,11281000.0
413,Tian Xiangli,China,Stub,1402385000.0
414,Ridha Charfeddine,Tunisia,Stub,11896000.0
415,Tjapko Poppens,Netherlands,Stub,17467000.0
416,Pradip Kumar Gyawali,Nepal,Start,29996000.0
417,Thierry Poyet,Monaco,Stub,38000.0
418,Eric Elena,Monaco,Stub,38000.0
419,Kalikst Witkowski,Poland,Stub,38368000.0
420,Nikos Markatos,Greece,Start,10700000.0
421,Dobrilo Dedeić,Montenegro,Stub,622000.0
422,Navin Patel,Fiji,Stub,896000.0
423,Christopher Nwankwo,Nigeria,Stub,206140000.0
424,Electoral history of Atal Bihari Vajpayee,India,Stub,1400100000.0
425,Palden Tsering Gyamtso,India,Stub,1400100000.0
426,Soledad Sosa,Argentina,Stub,45377000.0
427,Shafi U Ahmed,Bangladesh,Stub,169809000.0
428,Omar Benjelloun,Morocco,Stub,35952000.0
429,Fernão Martins da Fonseca Coutinho,Portugal,Stub,10255000.0
430,Jean-François Robillon,Monaco,Start,38000.0
431,Lhatu Wangchuk,Bhutan,Stub,730000.0
432,Tek Bahadur Gurung,Nepal,Start,29996000.0
433,Mohammad Sultan,Bangladesh,Start,169809000.0
434,Gaya Prasad,India,Stub,1400100000.0
435,Political Bureau of the Central Committee of FRELIMO,Mozambique,Stub,31166000.0
436,Old Men Forget,United Kingdom,Stub,67160000.0
437,Satini Manuella,Tuvalu,Stub,10000.0
438,S. Ganesan,India,Stub,1400100000.0
439,"Rhinoceros Party of Canada candidates, 1980 Canadian federal election",Canada,Stub,38190000.0
440,"Salvador Bermúdez de Castro, 2nd Duke of Ripalda",Spain,Start,47635000.0
441,Rameshwor Phuyal,Nepal,Stub,29996000.0
442,Rishi Kattel,Nepal,Stub,29996000.0
443,Peter Arnold (politician),Australia,Stub,25754000.0
444,Sushila Chaudhary,Nepal,Stub,29996000.0
445,Mahendra Dhoj G.C.,Nepal,Stub,29996000.0
446,Sher Bahadur Tamang,Nepal,Stub,29996000.0
447,Hari Bahadur Khadka,Nepal,Stub,29996000.0
448,Tirtha Bahadur Lama,Nepal,Stub,29996000.0
449,Vishwendraman Pashwan,Nepal,Stub,29996000.0
450,Tuluram Rajbanshi,Nepal,Stub,29996000.0
451,Hari Lal Joshi,Nepal,Stub,29996000.0
452,Arjun Jang Bahadur Singh,Nepal,Stub,29996000.0
453,Prem Lal Singh,Nepal,Stub,29996000.0
454,Sebaki Devi Das Tatma,Nepal,Stub,29996000.0
455,Chandra Bahadur Gurung,Nepal,Stub,29996000.0
456,Krishna Das Shrestha,Nepal,Stub,29996000.0
457,Om Prakash Yadav Gulzari,Nepal,Stub,29996000.0
458,Omprakash Yadav,Nepal,Stub,29996000.0
459,Hari Parajuli,Nepal,Stub,29996000.0
460,Ishwar Dayal Mishra,Nepal,Stub,29996000.0
461,Sher Dhan Rai,Nepal,Stub,29996000.0
462,Bhim Bahadur Tamang,Nepal,Start,29996000.0
463,Bedanand Jha,Nepal,Stub,29996000.0
464,Mohan Prasad Pandey,Nepal,Stub,29996000.0
465,Shekha Nath Adhikari,Nepal,Stub,29996000.0
466,Dev Raj Joshi,Nepal,Stub,29996000.0
467,Tarinee Datt Chataut,Nepal,Stub,29996000.0
468,Rabindra Nath Sharma,Nepal,Stub,29996000.0
469,Tek Bahadur Chokhyal,Nepal,Stub,29996000.0
470,Dip Kumar Upadhaya (Lamichhane),Nepal,Stub,29996000.0
471,Brijesh Kumar Gupta,Nepal,Stub,29996000.0
472,Harka Bahadur Singh,Nepal,Stub,29996000.0
473,Mohammad Estiyak Rai,Nepal,Stub,29996000.0
474,Rameshwor Prasad Dhungel,Nepal,Stub,29996000.0
475,Parbati Chaudhary,Nepal,Stub,29996000.0
476,Ram Hari Subedi,Nepal,Stub,29996000.0
477,Malabar Singh Thapa,Nepal,Stub,29996000.0
478,Yagya Bahadur Basnyat,Nepal,Stub,29996000.0
479,Narayan Singh Pun,Nepal,Stub,29996000.0
480,Ram Ayodhya Prasad Yadav,Nepal,Stub,29996000.0
481,Ramnath Dhakal,Nepal,Stub,29996000.0
482,Sher Bahadur Kunwor,Nepal,Stub,29996000.0
483,Ram Bir Manandhar,Nepal,Stub,29996000.0
484,Radhe Chandra Yadav,Nepal,Stub,29996000.0
485,Til Kumar Menyangbo Limbu,Nepal,Stub,29996000.0
486,Tirtha Ram Dangol,Nepal,Stub,29996000.0
487,Rajendra Kumar KC,Nepal,Stub,29996000.0
488,Lekh Nath Neupane,Nepal,Stub,29996000.0
489,Frank Lark,New Zealand,Start,4987000.0
490,Dorji Namgyal,Bhutan,Stub,730000.0
491,Ugyen Tshering,Bhutan,Stub,730000.0
492,Ibrahim Didi,Maldives,Stub,541000.0
493,Ibrahim Saleem,Maldives,Stub,541000.0
494,Mohamed Munavvar,Maldives,Start,541000.0
495,Mohamed Zahir Hussain,Maldives,Stub,541000.0
